Item,Purpose,Part Name,Supplier,Source,Alternative,  Price  ,Quantity, Subtotal 
Ear cup / case,Comfort,Printing on print Legion + shipping cost,#print-legion,,, $10.00 ,1, $10.00 
Head band,Comfort,,#print-legion,,, $10.00 ,1, $10.00 
Bluetooth,,Bluetooth 5.0 Audio Receiver,Aliexpress,https://www.aliexpress.us/item/3256805886601588.html?spm=a2g0o.productlist.main.1.248a6de7oIQOLn&aem_p4p_detail=20250710195255368974960293800000713203&algo_pvid=dc011ad8-a08f-4f72-862c-26b41f4338eb&algo_exp_id=dc011ad8-a08f-4f72-862c-26b41f4338eb-0&pdp_ext_f=%7B%22order%22%3A%22157%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.79%211.79%21%21%2112.78%2112.78%21%402101c72a17522023750811474ef3b5%2112000035603649874%21sea%21US%216406714679%21X&curPageLogUid=DfJk5T3L4eWY&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=20250710195255368974960293800000713203_1,, $6.05 ,1, $6.05 
Aliexpress shipping,,,Aliexpress,,, $1.99 ,1, $1.99 
Aliexpress tax,,,Aliexpress,,, $0.36 ,1, $0.36 
Cushion / seal material,Comfort,,Amazon,https://a.co/d/63Kcr8K,, $22.45 ,2, $44.90 
LiPo,,LP603449,Amazon,https://a.co/d/85SM4hH,, $23.62 ,1, $23.62 
Sound amp,Boost sound / bass,PAM8403 ,Amazon,https://www.amazon.com/PAM8403-Stereo-Amplifier-Control-Potentiometer/dp/B07N1268RY,, $5.49 ,2, $10.98 
Tang Nano 9k,Process mics,GOWIN GW1NR-9 RISC-V ,Amazon,https://a.co/d/abLnqeb,, $23.25 ,1, $23.25 
Amazon Shipping / Handling,,,Amazon,,, $12.98 ,1, $12.98 
Amazon Estimated Tax,,,Amazon,,, $9.11 ,1, $9.11 
Audio driver for headphones,Play audio,HPD-50N25PR00-32,Digikey,https://www.digikey.com/en/products/detail/peerless-by-tymphany/HPD-50N25PR00-32/6211129,https://www.amazon.com/dp/B0B3S2CYZS?ref_=cm_sw_r_cp_ud_dp_47YHT647GW0YA5WC0RF3_1, $10.69 ,2, $21.38 
Digikey Shipping,,,Digikey,,, $6.99 ,1, $6.99 
Digikey Tarriff,,,Digikey,,, $2.14 ,1, $2.14 
Charge Protection IC,,TP4056 or TPS75633,Ebay,https://www.ebay.com/itm/2-5-10PCS-TP4056-5V-1A-USB-18650-Lithium-Battery-Charger-Board-Protection-Module/132530522140?ssPageName=STRK%3AMEBIDX%3AIT&var=431882811498&_trksid=p2057872.m2749.l2649,, $2.27 ,1, $2.27 
Ebay shipping,,,Ebay,,, $4.95 ,1, $4.95 
Ebay tax,,,Ebay,,, $0.64 ,1, $0.64 
Buttons,volume & bluetooth,,Have,,, $5.00 ,4, $20.00 
LED,power indicator,,Have,,, $-   ,2, $-   
PCB (L + R),,,JCLPCB,,, $8.27 ,1, $8.27 
I2S Microphones,Take audio input,ICS-5200,Mouser,https://www.mouser.com/ProductDetail/TDK-InvenSense/ICS-52000?qs=u4fy%2FsgLU9PL4sQfWE4e7w%3D%3D,https://www.digikey.ca/en/products/detail/tdk-invensense/ICS-52000/6221214, $2.84 ,10, $28.40 
Mouser shipping,,,Mouser,,, $7.99 ,1, $7.99 
Total Price,,,,,,,, $256.27 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
