Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",CP_Radial_D5.0mm_P2.50mm,9,1 uF,
C10,CP_Radial_D5.0mm_P2.50mm,1,47 uF,
"J1, J13, J2",TerminalBlock_MetzConnect_Type101_RT01602HBWC_1x02_P5.08mm_Horizontal,3,Screw_Terminal_01x02,
"J10, J3, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Socket,
"J11, J12",PinSocket_1x24_P2.54mm_Vertical,2,Conn_01x24,
"J5, J6, J7, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4,Conn_01x02_Pin,
J8,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x04_Socket,
"MK1, MK2, MK3, MK4, MK5, MK6, MK7, MK8",MIC_ICS-52000,8,ICS-52000,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100 k,
U1,KC5,1,TPS75633KC,
U2,LGA51-0.8-18X11.8MM,1,MOUDLE-BLUETOOTH-AUDIO-BC127_51P-18X11.8MM_,BC127
U4,SOP-16_3.9x9.9mm_P1.27mm,1,PAM8403D,
