Designator,Mid X,Mid Y,Rotation,Layer
C1,97.25,-58.95,0.0,top
C10,104.25,-78.5,180.0,top
C2,97.25,-65.5,0.0,top
C3,97.25,-72.05,0.0,top
C4,97.25,-78.6,0.0,top
C5,174.405113,-65.5,0.0,top
C6,174.405113,-72.05,0.0,top
C7,181.044888,-65.5,0.0,top
C8,181.044888,-72.05,0.0,top
C9,104.25,-59.0,180.0,top
J1,82.6325,-104.995,270.0,top
J10,83.5,-83.0,90.0,top
J11,90.0,-87.51,0.0,top
J12,112.8169,-87.51,0.0,top
J13,124.0,-81.04,90.0,top
J2,125.0,-101.54,90.0,top
J3,83.5,-68.0,90.0,top
J4,83.5,-75.5,90.0,top
J5,83.5,-90.5,90.0,top
J6,177.5,-114.0,0.0,top
J7,185.5,-114.0,0.0,top
J8,121.95,-91.5,90.0,top
J9,169.5,-114.0,0.0,top
MK1,74.075,-91.031376,90.0,bottom
MK2,101.5,-50.475,180.0,bottom
MK3,100.875,-91.031376,0.0,bottom
MK4,128.925,-91.031376,270.0,bottom
MK5,149.075,-91.025,90.0,bottom
MK6,177.8125,-50.475,180.0,bottom
MK7,177.1875,-91.031376,0.0,bottom
MK8,206.0,-91.031376,270.0,bottom
R1,104.5,-68.5,270.0,top
R2,188.0,-68.0,90.0,top
U1,120.73,-69.2018,270.0,top
U2,101.5,-121.5,180.0,top
U4,101.1875,-104.325,270.0,top
